,DE,BE,DK,UK,NL,NO
3792,51323.54473,10197.6132138004,4893.626013848287,22609.1938716385,12992.79019099989,14871.121026919876
3793,50942.74279,9552.16357892714,4918.514713197929,21606.83864490539,12777.419911452049,14829.485996772999
3794,50671.9705,9038.95406711116,4994.864636131099,20471.71963362398,12678.983551182031,14589.204776916673
3795,53437.37259,8755.98084515454,5164.828024257946,19549.29478254938,12772.972654618648,14647.90804642324
3796,61704.04919,8679.85163230879,5577.9441735057535,19823.56717904199,13452.834137181424,15607.1656271058
3797,69061.80465,8809.05945930855,6011.469708211742,25175.62530597384,14476.399202757864,16985.254081688632
3798,73560.09319,9567.37005648146,6186.411543455063,32485.83486955993,15567.726689388057,17719.30285617125
3799,75942.71631,10613.8645515955,6141.423161700551,36714.2849542891,16241.76069550123,17683.355254300754
3800,76457.81285,11298.5023864069,6107.535887846253,38494.81353144401,16830.167540621092,17727.50463956785
3801,76454.18949,11693.5365373496,6046.5547051594185,39050.44601655783,17092.5970651441,17524.531421299806
3802,76979.85391,11795.004853437,5931.167395298597,39613.93330002188,16831.31254517583,17380.419392843134
3803,77680.88007,11872.6588819965,5853.25032433425,40442.59140494103,16668.269210516602,17252.659441712447
3804,76562.04589,11575.0922428316,5752.46822928925,40054.64970955735,16760.30321533949,17193.505497018923
3805,75138.97674,11587.660251925,5625.216601964374,38878.6805850029,16420.906695707286,17094.985998139302
3806,73652.71238,11594.5831054636,5572.555899360945,37524.29544806598,16213.21259924637,16809.870752313996
3807,73386.02627,11492.6084216771,5674.788301980288,37931.70628700972,16198.859332364893,16679.590630969593
3808,73327.90407,11397.6873886816,5742.013577997162,38135.93714005173,15824.710064551822,16539.34527532926
3809,73281.89323,11566.5669037922,5681.489410424951,37507.25348206851,16040.082992298958,16457.25309683753
3810,71170.10921,11609.3031663747,5540.738898114986,36925.16950758032,16309.345576959131,16578.334767928263
3811,67822.9023,11362.6383866884,5362.906811437251,35864.24046242181,16319.107238911078,16371.766721584896
3812,63639.52915,11056.3425163613,5141.579045892438,34271.73640179035,15781.185502237626,15947.15944118096
3813,58400.16525,10902.960311919,4929.149634526725,32775.09086332017,15114.361976900855,15310.256587482036
3814,54560.44915,11366.2152146134,4775.4729339006,27952.3346902243,14348.836281270736,15332.592503785385
3815,51579.2344,11141.7651418354,4701.425662156506,24394.14122807252,13662.955660534939,14919.175978522302
3816,48801.36181,10089.5809674817,4203.020034159805,24091.42817083233,12415.082134894143,14766.59064166466
3817,48249.7786,9382.92376899441,4183.739046884404,22956.91176459005,12228.990416165918,14638.084323281833
3818,47929.09234,8804.62846428524,4202.216004400116,21753.03459748208,12061.406726030646,14247.735388658766
3819,47776.42559,8401.61702799368,4295.666961994347,20400.84564510436,11944.734943128577,13941.105651407333
3820,50188.26042,8156.27812579437,4565.385867475863,19039.81391324153,12051.616867814455,13798.049789082543
3821,52964.73499,7890.76664192438,4933.867605350175,20159.79077987041,12520.877103541834,14109.610953892134
3822,56648.52107,7956.19888272513,5202.239225912324,24569.89265376462,13202.594918345685,15058.28815916998
3823,60480.19254,8552.34412509488,5332.127927648884,30792.80169590295,13763.297502892954,15578.317239871792
3824,63233.06765,9297.19914314819,5432.57981927498,34102.6351811548,14109.486635865289,15951.48466824233
3825,63700.09755,9921.02166805358,5461.662465668105,35314.48068631303,14294.969482462773,15994.037952433884
3826,64197.18667,10172.7722256297,5423.433675718365,35626.07854572954,14390.003502547797,15905.996284395384
3827,64153.68646,10218.2532668453,5411.225030270771,36157.87410341371,14503.268704716085,15763.90218497108
3828,62301.66626,10093.2245884992,5366.60103980438,36046.58758985082,14612.655945426879,15635.049289217444
3829,60780.21909,9830.12112068562,5310.054111056328,35004.70695166021,14589.494139425351,15554.870933949542
3830,59910.72776,9758.65787422419,5327.141830638297,33579.60485753047,14588.29464064525,15309.644532387303
3831,60119.26702,9674.74782054934,5550.562291279076,33058.00393247981,14651.373745717156,15326.557053289871
3832,60057.71561,9676.37130709356,5697.563206604827,33812.66610055001,14505.915014450748,15264.51920342054
3833,59086.65215,9893.78379859006,5591.016661605375,34129.56604808185,14451.319233369544,15134.209775180858
3834,57100.4258,10074.0939422421,5369.5247559472045,33917.79135823845,14534.541886937759,15200.880308851767
3835,55259.77473,9998.95346702993,5125.904749315239,33522.26549400923,14582.827340003782,15013.878006556128
3836,53480.20034,9800.7587604796,4873.101603549867,33123.70161688591,14460.119147951476,14886.090540073379
3837,50462.35527,9824.60604486974,4607.966284256344,33362.86705948712,14028.84502275008,14697.294513811295
3838,48743.19985,10252.47447262,4396.229355100485,30014.50066394022,13394.293957049318,14971.9063901331
3839,48610.55058,10146.9079309213,4265.740510212195,26516.38024696653,12789.351462387456,14626.602275908666
3840,45214.6598,9661.27841032346,4193.811017296415,22818.56763311624,12139.533247806596,14220.981478516758
3841,44670.6873,8971.29869747026,4174.766018124936,21747.76129213504,11904.220505144705,14093.873132598905
3842,44357.74461,8408.04524859251,4193.31914098335,20297.37874948823,11699.758959221881,13724.847022443428
3843,44173.17659,8090.23639973773,4245.840586549265,18745.80485334626,11551.580309090019,13442.981826185753
3844,44425.31706,7873.69240405503,4446.1170064272155,17313.83629154975,11443.610342990693,13289.133874869485
3845,45679.44985,7621.5556666263,4752.392443224924,18027.88587323736,11531.320006871792,13501.895188136887
3846,49203.81487,7629.06584102347,5014.226401294055,21381.8121620662,11967.258111357645,14284.815790151599
3847,53311.23224,8082.19310258608,5161.145241532705,26067.25177361359,12469.304827315353,14771.922670916512
3848,56613.63382,8710.64264860171,5230.545144274789,29402.98339795561,12869.178816603522,15223.938154889322
3849,57829.02132,9328.25490766674,5266.9340603855435,31487.64767427826,13051.86085059435,15367.03803828587
3850,58267.16273,9625.65738685719,5250.39792337476,32533.35633461945,13208.865367859858,15349.609650213006
3851,58504.88634,9837.75471796869,5214.518084621476,33491.04446093988,13290.940468292867,15252.267337655554
3852,57778.91341,9791.86874811038,5194.407452783379,33649.07122307433,13417.576922569757,15203.315643579957
3853,56343.6208,9475.31117689773,5156.338647608348,32718.64097903016,13442.041448359667,15216.734517300089
3854,55614.93789,9369.3580464363,5147.9951522820975,31374.13318984396,13542.72822414655,15114.984888514231
3855,55613.63221,9248.68594628251,5305.47683936952,31191.71073987219,13871.787433933921,15306.12852657713
3856,56425.6155,9219.12111951191,5458.805721726842,32398.67820976136,14400.747402624947,15399.269242950553
3857,57423.69436,9529.50690064251,5371.714866796066,33560.35566470663,14685.34260594398,15405.771190123665
3858,57467.53855,9890.05290628566,5180.213317259579,33910.53021403393,14902.064467954004,15562.369139522396
