,Technology,Country,Capacity TYNDP,Capacity ERAA
446,Hydro - Pump Storage Closed Loop (Turbine),CY,,0.0
447,Hydro - Pump Storage Open Loop (Energy),CY,,0.0
448,Hydro - Pump Storage Open Loop (Pumping),CY,,0.0
449,Hydro - Pump Storage Open Loop (Turbine),CY,,0.0
450,Hydro - Reservoir (Energy),CY,,0.0
451,Hydro - Reservoir (Turbine),CY,,0.0
452,Hydro - Run of River (Turbine),CY,,0.0
453,Hydro - Pondage (Energy),CZ,,0.0
454,Hydro - Pondage (Turbine),CZ,,0.0
455,Hydro - Pump Storage Closed Loop (Energy),CZ,,3700.0
456,Hydro - Pump Storage Closed Loop (Pumping),CZ,,-664.0
457,Hydro - Pump Storage Closed Loop (Turbine),CZ,,688.05
458,Hydro - Pump Storage Open Loop (Energy),CZ,,2300.0
459,Hydro - Pump Storage Open Loop (Pumping),CZ,,-438.0
460,Hydro - Pump Storage Open Loop (Turbine),CZ,,470.4
461,Hydro - Reservoir (Energy),CZ,,2500.0
462,Hydro - Reservoir (Turbine),CZ,,697.7200000000001
463,Hydro - Run of River (Turbine),CZ,,431.6300000000002
464,Hydro - Pondage (Energy),DE,,0.0
465,Hydro - Pondage (Turbine),DE,,0.0
466,Hydro - Pump Storage Closed Loop (Energy),DE,,629879.7889984642
467,Hydro - Pump Storage Closed Loop (Pumping),DE,,-7417.6
468,Hydro - Pump Storage Closed Loop (Turbine),DE,,7381.64
469,Hydro - Pump Storage Open Loop (Energy),DE,,416759.0
470,Hydro - Pump Storage Open Loop (Pumping),DE,,-1361.0
471,Hydro - Pump Storage Open Loop (Turbine),DE,,1644.1
472,Hydro - Reservoir (Energy),DE,,258578.02197802198
473,Hydro - Reservoir (Turbine),DE,,1297.0
474,Hydro - Run of River (Turbine),DE,,4368.4
475,Hydro - Pondage (Energy),DK,,0.0
476,Hydro - Pondage (Turbine),DK,,0.0
477,Hydro - Pump Storage Closed Loop (Energy),DK,,0.0
478,Hydro - Pump Storage Closed Loop (Pumping),DK,,0.0
479,Hydro - Pump Storage Closed Loop (Turbine),DK,,0.0
480,Hydro - Pump Storage Open Loop (Energy),DK,,0.0
